id,country,state,city,station,last_update,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI,Air Quality
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-10-2021 01:00:00,86,105,19,4,27,32,42,210,3
2,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-10-2021 01:00:00,71,86,23,0,5,20,18,158,2
3,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",21-10-2021 01:00:00,92,86,49,2,7,51,25,300,3
4,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-10-2021 01:00:00,202,157,91,4,10,46,25,363,4
5,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",21-10-2021 01:00:00,11,0,5,2,88,7,20,104,2
6,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",21-10-2021 01:00:00,11,14,5,1,38,11,20,121,2
7,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",21-10-2021 01:00:00,101,0,6,0,15,59,11,316,4
8,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",21-10-2021 01:00:00,45,42,24,2,3,42,17,257,3
9,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",21-10-2021 01:00:00,83,60,10,1,7,72,35,341,4
10,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",21-10-2021 01:00:00,51,65,13,4,10,46,50,276,3
11,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-10-2021 01:00:00,77,0,4,0,8,52,13,302,4
12,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",21-10-2021 01:00:00,55,114,64,12,4,45,39,271,3
13,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",21-10-2021 01:00:00,65,77,25,2,16,40,33,248,3
14,India,Bihar,Patna,"Muradpur, Patna - BSPCB",21-10-2021 01:00:00,46,111,26,6,8,98,137,392,4
15,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",21-10-2021 01:00:00,84,95,32,4,3,44,27,267,3
16,India,Bihar,Patna,"Samanpura, Patna - BSPCB",21-10-2021 01:00:00,107,94,13,5,6,28,32,257,3
17,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",21-10-2021 01:00:00,138,120,58,5,15,40,200,314,4
18,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",21-10-2021 01:00:00,66,99,26,12,6,41,22,252,3
19,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",21-10-2021 01:00:00,61,78,17,0,12,55,0,308,4
20,India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-10-2021 01:00:00,223,199,48,0,9,38,19,379,4
21,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-10-2021 01:00:00,235,0,128,6,24,0,15,388,4
